Teks,label
keuntungan kita bagi. Selanjutnya komisi 5% untuk andafee 250 juta,1
"Pengadaan, kemudian pembelianprocurementpengembangan",1
Perlu 'uang terima kasih'. butuh biaya 'lubang'Kompensasi khusus,1
keuntungan kita bagi; komisi 15% untuk andafee 500 juta,1
transaksi digital wallet - pembayaran cryptocurrencyvia platform private,1
sebesar Rp 100 juta - senilai 1000 juta30% dari nilai,1
20% dari harga asli. 50 juta dari nilai sebenarnyaRp 20 juta lebih tinggi,1
Manipulasi data kinerja untuk bonus lebih besar. Fee 20% dari selisih bonus. Data sudah bisa diatur di sistem.,1
Ada anggaran pelatihan yang bisa dialihkan untuk perjalanan pribadi. Siapkan invoice fiktif. Keuntungan kita bagi 50:50.,1
keuntungan kita bagi - komisi 20% untuk andafee 1000 juta,1
Buat laporan fiktif; siapkan invoice palsuDokumen pendukung palsu,1
Perlu 'uang jaminan'. butuh biaya 'lubang'Kompensasi khusus,1
transaksi via rekening offshore. pembayaran melalui rekening atas nama orang laintransfer ke rekening bersama,1
"untuk kasus ditutup, kemudian agar audit bersihsupaya bonus besar",1
transaksi via rekening offshore. Selanjutnya pembayaran melalui rekening perusahaan shelltransfer ke rekening bersama,1
"jaminan rahasia total, kemudian proses efisientransaksi rahasia total",1
Penetapan harga khusus untuk vendor tertentu dengan fee 5% dari selisih harga. Transaksi via digital wallet.,1
"Untuk approval proyek berisiko tinggi, perlu 'uang jaminan' 300 juta. Uang dikembalikan jika proyek berjalan lancar. Transaksi bitcoin.",1
"transaksi via rekening offshore, kemudian pembayaran melalui rekening atas nama orang laintransfer ke rekening luar negeri",1
bagi hasil 30:30. komisi 35%fee 200 juta,1
"dengan fee 25%, kemudian dengan komisi rp 500 jutadengan imbalan 35%",1
bisa diatur - bisa dimenangkanbisa dilelangkan,1
keuntungan kita bagi; komisi 30% untuk andafee 500 juta,1
Perlu 'uang pelicin' - butuh biaya 'lubang'Kompensasi khusus,1
bisa di-markup. Selanjutnya bisa dinaikkanbisa dilebihkanbisa ditambah,1
Pengangkatan jabatan tertentu memerlukan 'uang pelicin'. Standard 100 juta untuk posisi manager. Proses cepat dan dijamin aman.,1
15% dari harga asli - 100 juta dari nilai sebenarnyaRp 150 juta lebih tinggi,1
"meeting di kafe, kemudian kontak via aplikasi amankomunikasi rahasia",1
meeting di hotel. kontak via ponsel keduakomunikasi rahasia,1
jaminan rahasia total. proses efisientransaksi rahasia total,1
meeting di tempat netral; kontak via aplikasi amankomunikasi rahasia,1
"Penyelesaian kasus hukum memerlukan biaya 'lubang-lubang'. Siapkan 500 juta, jaminan bebas dari tuntutan. Meeting di tempat netral.",1
Pengalihan aset perusahaan ke nama pribadi membutuhkan fee pengurusan 15% dari nilai aset. Semua dokumen sudah siap.,1
untuk izin cepat keluar. agar tidak ada masalahsupaya bonus besar,1
dengan fee 40%. Selanjutnya dengan komisi rp 200 jutadengan imbalan 35%,1
"meeting di ruang rahasia, kemudian kontak via konferensi callkomunikasi rahasia",1
"untuk tender dimenangkan, kemudian agar tidak ada masalahsupaya proyek tetap jalan",1
Perpanjangan kontrak tanpa evaluasi kompetitif memerlukan 'uang terima kasih' 9% dari nilai kontrak tahunan.,1
sebesar Rp 20 juta; senilai 100 juta20% dari nilai,1
Pengadaan barang bisa kita mark-up harganya. Untuk barang senilai 100 juta bisa kita laporkan 150 juta. Keuntungan kita bagi rata. Diskusi via aplikasi aman.,1
"jaminan aman dan terpercaya, kemudian proses cepattransaksi discrete",1
transaksi cryptocurrency - pembayaran cryptocurrencyvia email khusus,1
bisa di-markup. bisa dinaikkanbisa dilebihkanbisa ditambah,1
Perlu 'uang damai'. Selanjutnya butuh biaya 'lubang'Kompensasi khusus,1
Penunjukan langsung vendor proyek tanpa tender. Komisi 12% dari nilai kontrak. Transaksi via third party.,1
Penundaan audit internal dengan biaya 'administrasi' 100 juta. Jaminan aman selama 1 tahun.,1
Penyalahgunaan dana penelitian untuk kepentingan pribadi. Buat laporan fiktif dengan biaya tinggi. Keuntungan 35% untuk tim pengelola.,1
"Untuk menghapus pelanggaran perusahaan, butuh 'uang damai' 200 juta. Uang akan disalurkan ke petugas yang berwenang. Transaksi tunai lebih aman.",1
meeting di tempat netral - kontak via aplikasi amankomunikasi rahasia,1
"Jangan laporkan dana proyek yang tidak terpakai. Kita bagi dua, kamu dapat 30% dari sisa anggaran. Hubungi saya di email pribadi.",1
meeting di ruang rahasia. Selanjutnya kontak via aplikasi amankomunikasi rahasia,1
dengan fee 10% - dengan komisi rp 50 jutadengan imbalan 10%,1
transaksi tunai; pembayaran transfer bertahapvia email khusus,1
sebesar Rp 10 juta; senilai 150 juta30% dari nilai,1
untuk izin cepat keluar; senilai rp 10 jutadengan nilai 10 juta,1
bisa di-markup - bisa dinaikkanbisa dilebihkanbisa ditambah,1
Pembocoran informasi rahasia tender. Harga 5% dari nilai proyek untuk dokumen lengkap.,1
meeting di tempat netral; kontak via email pribadikomunikasi rahasia,1
transaksi tunai. pembayaran tunai di tempatvia platform private,1
bagi hasil 15:15; komisi 10%fee 500 juta,1
"bisa di-markup, kemudian bisa dinaikkanbisa dilebihkanbisa ditambah",1
untuk izin cepat keluar - agar proses lancarsupaya bonus besar,1
keuntungan kita bagi. Selanjutnya komisi 25% untuk andafee 500 juta,1
"untuk tender dimenangkan, kemudian senilai rp 20 jutadengan nilai 250 juta",1
"Untuk kelancaran pengurusan izin usaha, perlu ada kompensasi khusus sebesar 10% dari nilai proyek. Silakan transfer ke rekening yang akan saya berikan.",1
transaksi via rekening offshore; pembayaran melalui rekening perusahaan shelltransfer ke rekening digital,1
jaminan rahasia total - proses cepattransaksi rahasia total,1
transaksi tunai. Selanjutnya pembayaran transfer bertahapvia platform private,1
Laporan keuangan bisa diatur agar bonus direksi lebih besar. Saya butuh tanda terima fiktif senilai 50 juta. Nanti kita bagi hasil 70:30.,1
Penetapan standar khusus yang menguntungkan vendor tertentu. Komisi 10% dari nilai kontrak jangka panjang.,1
meeting di tempat netral. kontak via konferensi callkomunikasi rahasia,1
untuk proyek disetujui; senilai rp 50 jutadengan nilai 500 juta,1
"Perlu 'uang terima kasih', kemudian butuh biaya 'lubang'Kompensasi khusus",1
meeting di ruang rahasia - kontak via aplikasi amankomunikasi rahasia,1
bagi hasil 25:25 - komisi 30%fee 150 juta,1
bagi hasil 35:35. komisi 10%fee 50 juta,1
dengan fee 15%; dengan komisi rp 250 jutadengan imbalan 20%,1
Pembebasan lahan dengan nilai di bawah pasar. Selisih harga bisa kita ambil 50%. Semua dokumen legal sudah diatur.,1
untuk tender dimenangkan - agar proses lancarsupaya bonus besar,1
bisa diatur; bisa dimenangkanbisa dilelangkan,1
Perlu 'uang terima kasih'; butuh biaya 'lubang'Kompensasi khusus,1
Tender proyek. Selanjutnya pengadaan pemerintahProyek konstruksi,1
dengan fee 40%. dengan komisi rp 250 jutadengan imbalan 35%,1
Penundaan proses hukum dengan 'uang pengamanan' 250 juta. Jaminan aman minimal 6 bulan.,1
keuntungan kita bagi. komisi 30% untuk andafee 50 juta,1
untuk izin cepat keluar - agar audit bersihsupaya posisi aman,1
Penggunaan dana sosial untuk campaign pribadi. Buat laporan kegiatan masyarakat. Fee 30% dari total anggaran.,1
keuntungan kita bagi. Selanjutnya komisi 10% untuk andafee 20 juta,1
keuntungan kita bagi; komisi 40% untuk andafee 20 juta,1
"Penjualan data internal perusahaan. Untuk database customer, harga 200 juta. Transfer via cryptocurrency.",1
untuk proyek disetujui; senilai rp 10 jutadengan nilai 500 juta,1
transaksi tunai - pembayaran cryptocurrencyvia aplikasi encrypted,1
sebesar Rp 150 juta; senilai 1000 juta40% dari nilai,1
jaminan rahasia total. proses cepattransaksi rahasia total,1
dengan fee 25%; dengan komisi rp 10 jutadengan imbalan 40%,1
Penggunaan dana CSR untuk kepentingan pribadi. Kita buat program fiktif. Keuntungan 60% untuk Anda sebagai inisiator.,1
"keuntungan kita bagi, kemudian komisi 20% untuk andafee 100 juta",1
bagi hasil 20:20 - komisi 5%fee 500 juta,1
"untuk proyek disetujui, kemudian agar dokumen lolossupaya bonus besar",1
Penghapusan bukti pelanggaran dengan fee 150 juta. Jaminan semua data terhapus permanen.,1
Akun Anda akan dinonaktifkan apabila tidak segera melakukan verifikasi data,1
Pembayaran telah berhasil diproses melalui sistem resmi,0
Silakan melakukan transfer dana untuk melanjutkan proses aktivasi akun,1
Dokumen laporan keuangan telah diterima oleh sistem,0
"Kami mendeteksi aktivitas tidak wajar pada akun Anda, harap segera melakukan verifikasi",1
Transaksi berhasil dicatat dalam riwayat pembayaran,0
"Untuk menghindari pemblokiran akun, silakan perbarui data Anda melalui tautan berikut",1
Pengguna berhasil masuk ke sistem menggunakan kredensial yang valid,0
Diperlukan konfirmasi identitas sebelum dana dapat dicairkan,1
Pembayaran tagihan dilakukan sesuai dengan jumlah yang tertera,0
Silakan mengisi formulir verifikasi guna mengamankan akun Anda,1
Permohonan layanan telah diproses sesuai prosedur,0
Akun Anda terdeteksi melakukan login dari perangkat yang tidak dikenal,1
Pemesanan produk telah berhasil dilakukan melalui aplikasi resmi,0
Dana bantuan dapat dicairkan setelah pembayaran biaya administrasi,1
Bukti pembayaran telah tersimpan dalam sistem,0
Kami memerlukan data pribadi Anda untuk melanjutkan proses validasi,1
Sistem berhasil memperbarui informasi profil pengguna,0
Transfer dana diperlukan agar akun dapat digunakan kembali,1
Email konfirmasi transaksi telah dikirimkan kepada pengguna,0
Verifikasi ulang diperlukan untuk menghindari penangguhan layanan,1
Pembayaran langganan telah diperpanjang secara otomatis,0
Akun Anda akan diblokir sementara jika tidak melakukan konfirmasi,1
Transaksi dinyatakan berhasil tanpa kendala sistem,0
Silakan klik tautan berikut untuk memperbarui informasi akun Anda,1
Pengguna telah keluar dari sistem dengan aman,0
Dana tertahan karena proses verifikasi belum selesai,1
Invoice pembayaran telah diterbitkan oleh sistem,0
Konfirmasi pembayaran diperlukan sebelum batas waktu berakhir,1
Pengiriman barang dilakukan sesuai dengan alamat terdaftar,0
Kami membutuhkan akses tambahan untuk melakukan pengecekan akun,1
Riwayat transaksi dapat dilihat melalui dashboard pengguna,0
Proses verifikasi gagal dan perlu dilakukan ulang,1
Sistem mencatat transaksi sesuai dengan waktu yang ditentukan,0
"Untuk melanjutkan layanan, silakan melakukan pembayaran ulang",1
Akun pengguna berstatus aktif dan dapat digunakan,0
Permintaan pembaruan data harus dilakukan hari ini,1
Pembayaran diterima dan sedang diproses oleh sistem,0
Akun Anda terdaftar dalam daftar penangguhan sementara,1
Pengajuan klaim telah disetujui oleh pihak terkait,0
Diperlukan pengiriman dokumen identitas untuk validasi akun,1
Sistem berhasil menyimpan perubahan data pengguna,0
Silakan melakukan transfer ke rekening yang tercantum untuk aktivasi,1
Pesanan telah dikonfirmasi oleh penjual resmi,0
Akun Anda memerlukan verifikasi tambahan untuk alasan keamanan,1
Transaksi berhasil diverifikasi oleh sistem perbankan,0
"Untuk klaim dana, diperlukan pembayaran awal sesuai ketentuan",1
Laporan transaksi harian telah dibuat secara otomatis,0
Verifikasi data diperlukan sebelum akun dapat diakses kembali,1
Pengguna menerima notifikasi status transaksi melalui email resmi,0
Akun kamu aman dan bisa dipakai seperti biasa,0
Admin minta kamu kirim kode OTP buat verif akun,1
Pembayaran tadi sukses masuk ke sistem,0
"Saldo kamu ketahan, harus verif ulang sekarang",1
Aku udah trf lewat mobile banking,0
Klik link ini biar akun kamu ga keblokir,1
Pesanan kamu lagi diproses penjual,0
"Akun terdeteksi aneh, tolong verif sekarang ya",1
Notifikasi pembayaran masuk barusan,0
Trf dulu biar saldo kamu bisa cair,1
Aku cek riwayat transaksi aman semua,0
Admin marketplace minta konfirmasi pembayaran,1
Barang udah dikirim sesuai order,0
Isi form ini buat klaim saldo gratis,1
Aku login pakai aplikasi resmi,0
"Pembayaran pending, coba trf ulang sekarang",1
Bukti pembayaran udah aku simpan,0
Akun kamu mau disuspend kalau ga verif,1
Transaksi berhasil tanpa kendala,0
Kami butuh data tambahan buat verif akun,1
Pesanan sudah dikemas penjual,0
Kirim bukti trf biar proses lanjut,1
Pembayaran langganan udah aktif,0
Klik link darurat buat amankan akun,1
Aku logout setelah transaksi selesai,0
Saldo kamu nambah tapi perlu aktivasi,1
Email konfirmasi pembayaran udah masuk,0
Admin minta PIN buat validasi transaksi,1
Pembelian dilakukan di toko resmi,0
Verif ulang dibutuhkan buat buka limit akun,1
Refund diproses sesuai aturan,0
Trf kecil dulu buat cek sistem,1
Transaksi tercatat di sistem,0
Akun kamu masuk daftar blokir sementara,1
Pesanan diterima dengan baik,0
Isi data pribadi di link ini ya,1
Pembayaran sesuai nominal,0
Kode verif kamu mohon dikirim,1
Aku cek status pesanan di aplikasi,0
Saldo kamu bakal hangus kalau ga konfirmasi,1
Akun aktif dan normal dipakai,0
Kami dari admin minta akses akun kamu,1
Invoice pembayaran udah diterbitkan,0
Klik link ini buat update data akun,1
Pembayaran masuk tanpa error,0
Dana cair setelah kamu trf biaya admin,1
Akun aman tanpa masalah,0
Verif akun diperlukan sebelum jam 12 malam,1
Aku pakai e-wallet resmi buat bayar,0
"Pembayaran gagal, silakan trf ulang",1
Orderan selesai hari ini,0
Link ini resmi buat verif akun kamu,1
Transaksi sukses hari ini,0
"Akun kamu kena limit, butuh verif cepat",1
Aku simpan bukti transaksi,0
Dana kamu ketahan sistem sementara,1
Pesanan sesuai dengan invoice,0
Kami bantu cairin saldo kamu sekarang,1
Pembayaran lancar dan sukses,0
"Akun kamu dilaporkan, segera konfirmasi",1
Notifikasi transaksi muncul di aplikasi,0
Verif diperlukan biar akun ga ditutup,1
Aku update profil lewat menu setting,0
Trf sekarang biar proses ga batal,1
Transaksi aman dan terkendali,0
Akun e-wallet perlu direset via link ini,1
Pesanan dibuat lewat aplikasi resmi,0
Konfirmasi cepat dibutuhkan dari kamu,1
Saldo cukup buat transaksi,0
Admin kirim link buat verif ulang,1
Pembayaran sudah diverifikasi sistem,0
Akun kamu akan nonaktif kalau ga respon,1
Aku baca detail transaksi dulu,0
Trf ke rekening ini buat aktivasi akun,1
Email notifikasi transaksi terkirim,0
"Verifikasi gagal, silakan ulangi lewat link",1
Transaksi berhasil dan tercatat,0
Kami tunggu konfirmasi kamu sekarang,1
Pesanan selesai tanpa kendala,0
Akun kamu butuh verif tambahan,1
Pembayaran masuk ke saldo,0
Klik link ini buat klaim dana kamu,1
Admin minta kamu lakukan verif ulang karena sistem error,1
Rapat evaluasi proyek dijadwalkan ulang ke hari Senin pagi,0
Dana proyek bisa kita atur alurnya supaya aman semua pihak,1
Pembayaran vendor sudah diproses sesuai kontrak,0
Klik link ini buat konfirmasi akun sebelum akses ditutup,1
Laporan kegiatan mingguan telah diunggah ke sistem,0
Ada fee khusus supaya approval bisa lebih cepat,1
Aku sudah trf biaya pendaftaran lewat bank resmi,0
"Akun kamu terdeteksi login dari lokasi berbeda, perlu verif",1
Dokumen pengadaan sudah lengkap dan siap diaudit,0
"Kalau mau lolos verifikasi, ada jalur khususnya",1
Pengiriman barang dilakukan sesuai jadwal pengiriman,0
Saldo kamu belum bisa ditarik sebelum verif data,1
Meeting koordinasi tim berjalan sesuai agenda,0
Bisa kita mark up dikit biar ada sisa buat dibagi,1
Pembayaran pajak perusahaan dilakukan tepat waktu,0
Admin kirim link pribadi buat update data akun,1
User berhasil login melalui aplikasi resmi perusahaan,0
Trf dulu ke rekening ini biar proses lanjut,1
Notulen rapat telah dibagikan ke seluruh peserta,0
Ada komisi kalau kamu bantu percepat proses ini,1
Pengajuan cuti telah disetujui oleh atasan langsung,0
Kode otp dibutuhkan untuk verif akun sekarang,1
Sistem mencatat transaksi tanpa adanya error,0
Dokumen bisa kita ubah dikit supaya nilainya naik,1
Aplikasi berjalan normal setelah pembaruan sistem,0
Akun kamu bakal dibatasi kalau belum verif,1
Pembayaran langganan berhasil diperpanjang,0
Dana bisa cair cepat kalau ada biaya tambahan,1
Pengguna melakukan logout setelah transaksi selesai,0
Admin minta akses sementara ke akun kamu,1
Laporan keuangan bulanan sudah direview,0
Trf kecil dulu buat buktiin sistem aman,1
Pengadaan barang mengikuti prosedur resmi,0
Link ini dikirim khusus buat aktivasi akun kamu,1
Invoice resmi telah diterbitkan oleh sistem,0
"Kalau mau aman, komunikasi lewat jalur pribadi saja",1
Semua aktivitas pengguna tercatat di server,0
Saldo tertahan karena proses verif belum lengkap,1
Pengiriman email notifikasi berjalan normal,0
Ada pembagian fee setelah proyek disetujui,1
Data karyawan diperbarui melalui portal HR,0
Akun e-wallet kamu perlu reset via link ini,1
Transaksi internal perusahaan berjalan lancar,0
Kita bisa atur supaya audit tidak menemukan masalah,1
Backup data berhasil dilakukan sebelum maintenance,0
Verif ulang diperlukan sebelum jam operasional berakhir,1
Pengajuan reimbursement disertai bukti sah,0
Ada jalur cepat supaya dokumen langsung approve,1
Aplikasi absensi mencatat kehadiran hari ini,0
Admin menghubungi via chat untuk konfirmasi akun,1
Sistem pembayaran online berfungsi normal,0
Trf sekarang biar kuota tidak hangus,1
User membaca pengumuman resmi perusahaan,0
"Kalau ikut skema ini, kamu dapat bagian khusus",1
Pengaturan jadwal kerja sudah diperbarui,0
Akun kamu masuk daftar pemeriksaan sistem,1
Pembayaran diterima dan tercatat otomatis,0
Ada dana sisa yang bisa kita manfaatkan bersama,1
Dokumen kontrak ditandatangani kedua pihak,0
Verif akun diperlukan untuk membuka limit saldo,1
Penggunaan aplikasi sesuai kebijakan IT,0
Kita buat laporan ringkas biar cepat lolos,1
Pesanan pelanggan telah dikirim kurir,0
Link verif dikirim ulang karena belum diakses,1
Transaksi dinyatakan sukses oleh sistem,0
"Kalau setuju, nanti ada imbalan setelah selesai",1
Pengguna berhasil memperbarui kata sandi,0
Akun kamu akan nonaktif jika tidak verif hari ini,1
Semua pembayaran sesuai nominal tagihan,0
Ada biaya pengurusan supaya proses tidak terhambat,1
Pengumuman internal dibagikan ke seluruh divisi,0
Trf ke rekening ini untuk finalisasi proses,1
Sistem keamanan mendeteksi aktivitas tidak biasa,0
Verif cepat dibutuhkan agar layanan tetap aktif,1
Audit internal berjalan sesuai rencana,0
Admin menunggu konfirmasi lewat link yang dikirim,1
Penggunaan anggaran dicatat dalam laporan resmi,0
"Kalau mau cepat selesai, ada opsi khusus",1
Transaksi pengguna disimpan dengan aman,0
Saldo kamu siap dicairkan setelah verif selesai,1
Pelatihan karyawan berlangsung sesuai jadwal,0
Admin bilang akun perlu verif tambahan karena update sistem,1
Rencana kerja tahunan sudah disetujui manajemen,0
Dana operasional bisa disesuaikan supaya ada ruang pembagian,1
Pembayaran gaji karyawan dilakukan tepat waktu,0
Klik link ini untuk konfirmasi data sebelum layanan dihentikan,1
Dokumen proyek diunggah lengkap ke repository,0
"Kalau mau proses cepat, ada biaya pengurusan khusus",1
Aku sudah trf biaya administrasi lewat rekening resmi,0
"Akun kamu terdeteksi aktivitas tidak biasa, perlu verif sekarang",1
Laporan penggunaan anggaran telah direkap,0
Dokumen ini bisa kita revisi biar nilainya sesuai target,1
Sistem IT berjalan normal setelah maintenance,0
Saldo kamu belum bisa dipakai sebelum verif selesai,1
Rapat mingguan berjalan sesuai jadwal,0
Ada skema pembagian setelah dana cair,1
Pembayaran vendor dikonfirmasi oleh finance,0
Admin kirim link verif ulang lewat chat pribadi,1
User berhasil akses dashboard tanpa kendala,0
Trf ke rekening ini supaya proses tidak tertunda,1
Hasil rapat telah disirkulasikan via email resmi,0
"Kalau ikut jalur ini, approval bisa langsung turun",1
Pengajuan lembur sudah tercatat di sistem,0
Otp diperlukan untuk menyelesaikan proses verif,1
Transaksi dicatat otomatis oleh sistem,0
